STATE,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
ID,12.564003884037,13.5345336476657,12.794103235949098,13.2947412689177,13.0571075699004,13.3087037491272,14.2189353164026,14.012730603824398,12.895460742154,13.8519362539107,13.2385331157332,12.6776551305038,12.5733598284206,12.6762634240057,14.7935369542803,14.7406696888364,14.4685753963105,13.7554660463248,14.256861826046,13.4494210094056,13.9468616155507,13.852884962362802,12.9506855520634,14.7277047689263,15.773496165344,15.9281704953641,17.692985391194203,18.4098156715201,18.6665545657784,20.6337520117751,20.1363338850128,21.6612127558121
IL,185.1381670953865,184.37600134473104,183.31387297785136,200.741640079146,198.94246185657056,206.70239855713265,216.67205167369497,224.62642153192087,212.4868601933329,218.45736700231163,225.1726308303115,214.77255765131204,220.97966107692605,224.0855913269524,227.7666622391809,231.4168783519184,228.8782655405895,232.2687928642036,231.21239611218783,214.77219666079583,219.9098923930138,212.37211704150107,201.537871378952,220.30512713696484,218.600180202256,204.6637246665841,188.82803183218772,186.78666272042284,194.50369471505644,185.46759528897547,152.71604253103322,167.35641422891436
IN,201.12219895416243,195.8386179913423,198.78440821662068,204.7945792104874,208.209621142875,213.4180024383977,215.0445761232344,220.29955962575195,219.95611224362972,223.34223717357457,236.93469526902948,224.486744162638,224.7506612002918,231.225917686246,237.63071121620868,234.3826742423344,234.25337728801307,233.5558085165537,234.02998279588007,208.4270595806627,222.731614797727,210.2957721560268,197.7176539230609,202.8197845847457,207.3382204983729,189.6812091037021,182.30570971465207,175.17085274449636,188.4188563759391,174.74332283991052,149.1365943636148,159.5929037553429
KS,63.306243903639135,62.75842080966744,61.46664338038168,67.06983007182151,66.8855975385103,65.68149853345464,69.74960540041445,67.40752779986515,66.49342261597451,69.54872026985359,69.97854701767689,67.61161988109335,71.33844862088091,74.86575276394552,72.73915336530928,69.15653697841395,68.79262080019689,75.47157552715393,70.98250435141819,68.76740628922394,68.445367622129,65.39351396343834,61.23126373346856,65.78174883704652,65.84432413357663,60.8806584000324,58.58716345784008,54.43336914894872,58.69008135385531,56.39756464731257,54.42181592108205,56.48779045753504
KY,94.37856486026476,93.65176837369144,98.241252245512,107.6054225133841,105.65381406582917,110.88683566574429,111.84774314580494,116.85343569344536,115.62987971565408,119.59514291954376,122.23197580690083,125.5656895170838,125.84919684855343,124.8420206936446,130.23176673201158,131.95584529552295,135.3729540354652,132.94578733823076,131.864882744067,122.68300590483489,130.02128721876608,129.02903083068867,120.21688788717226,120.21320897137176,120.5228030278093,111.48659582899776,106.16267631605926,96.500199625026,102.22630767050782,94.47616421796204,80.984465834313,91.43368274307896
LA,159.83301712077844,158.6497152138924,166.61306492739757,169.28147861466528,175.54320158268126,175.8103421778007,176.97100903674857,185.1632329019433,172.6818569073604,175.62554459811594,187.76084721141237,163.46329355363432,167.06737096846774,161.58575357170392,166.1330223090916,162.21193086983456,178.15632561011054,182.0321770548142,171.91331842881578,161.6937467545306,171.96867828313626,166.11010075964893,160.68401340162205,154.9970621458772,150.80387091886575,148.1057473289677,149.28507121242387,151.97534935502685,157.7938296858827,158.72199214936097,145.61777892024827,155.43447467302545
MA,77.6334317335075,75.6115901273495,77.331344884982,73.8429495324557,74.4891287686063,71.83526327558491,72.5753813034553,78.6308757292218,77.0350459670356,74.696588958376,75.6700373952649,75.8116492906581,76.2315597047863,78.4853105656466,76.1229050766915,76.6630186900819,70.1662005405663,73.3939739732848,68.4950312983778,63.8980512664209,66.1167123290553,61.9775043070931,55.4342206384018,59.036271580388295,57.7818731262825,59.214621920745394,56.251757474207096,56.2661579448172,56.0171250133934,55.3081913665231,44.574829531449495,47.5971596296066
MD,64.1537034117268,62.373322127223794,62.7952390386549,64.9486933401459,66.2384714394578,65.8303219216124,68.4583996997349,69.51458990298211,72.17173148434921,74.5118872572135,74.9053454504816,75.4618582518619,75.9422895104603,78.7247717622028,79.9486529636606,81.0630986932668,74.2604078498916,74.8708622617703,69.8836269709226,66.2479757754906,65.8602087996377,65.47856260770911,57.5432458768356,56.8199549736067,59.4565183601599,57.8912533146472,55.9209110663724,50.406631301210496,56.8794344094467,52.4011404499163,43.5868215645293,48.4138645734584
ME,8.5389031018791,8.5207799767163,9.4679494270093,8.8727976824113,9.9093396893552,8.6161720869547,9.2517928252348,9.5742201185668,8.7879990216576,9.643283225946998,11.5570482680901,11.6816649962484,12.823739338611,12.682085774525298,12.780676060397,11.2203515014302,9.5693853810241,9.096011637829,6.9079848218716,5.557108738704001,4.7925373210506,4.5317964571173,2.1857329875300007,2.5465628523307,2.743734273310501,2.706203506319298,1.9210080491611,0.5491354614908994,0.3583942594361993,0.2200213425320006,-0.6654871154515001,-0.0721988903003998
MI,173.1571086260077,172.75644633529774,173.23927108907034,174.40789691662852,178.2296541820756,181.68059827193215,186.5751873586574,183.98567921886712,182.5830372234359,187.9617718123892,186.20828362609728,180.61499164241172,181.30637388757987,178.9537505734552,180.78478288614448,180.54611427873863,169.2584180166244,170.49006541633082,163.870011310089,150.9661332865328,160.6499814089874,154.86894510978613,147.46965173419702,155.56270832555822,155.61303400222445,155.08092880129604,145.97113483525305,143.69831853042706,151.21290715437974,146.4000450173565,124.64669158504924,135.30726155982686
