STATE,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
HI,1.6275435877595355e-05,1.40160941918398e-05,1.5118180923275197e-05,1.4111286525866492e-05,1.4761166757551127e-05,1.476558629650542e-05,1.4740051219734128e-05,1.4417082092175764e-05,1.4552377048109742e-05,1.385211140082805e-05,1.3992539325651371e-05,1.3654609425424704e-05,1.4309909018962557e-05,1.4037736570501662e-05,1.437883711540788e-05,1.5013384984049971e-05,1.5172593706984445e-05,1.4444026850720833e-05,1.3106170508125915e-05,1.2331299601469855e-05,1.2624596352452813e-05,1.2708955112919297e-05,1.218730922614653e-05,1.2145693224018246e-05,1.2075419175343848e-05,1.202813812868788e-05,1.1968905118989574e-05,1.2233823445342147e-05,1.201072416709014e-05,1.2369362365904401e-05
IA,1.942793833635169e-05,1.9810753445005477e-05,1.9024010262532922e-05,2.192714214030835e-05,2.163082035371111e-05,2.2496956754406518e-05,2.2590096069728906e-05,2.3001470957511324e-05,2.565021538003373e-05,2.5891089195292977e-05,2.5128752735002202e-05,2.4170065609927943e-05,2.452335371874203e-05,2.3435815231515305e-05,2.4298001865674397e-05,2.3939738242814325e-05,2.3560353019482212e-05,2.6502318029518056e-05,2.7685807702945837e-05,2.6051092384247067e-05,2.736264314899829e-05,2.5329680007855368e-05,2.2699705612261858e-05,2.413437295098023e-05,2.4496431085529128e-05,2.2509414232491316e-05,2.0718090669698224e-05,2.104013222019799e-05,2.3131154255131617e-05,2.14820133081034e-05
ID,1.241647137120435e-05,1.3027565919893063e-05,1.1996458697173999e-05,1.2072914073067025e-05,1.149940911111753e-05,1.142378004216927e-05,1.197176348052683e-05,1.1574666088314094e-05,1.0476252976143918e-05,1.1066498565080051e-05,1.0187954038103783e-05,9.604560684704407e-06,9.380500210703148e-06,9.297674473738576e-06,1.0629052806563219e-05,1.0320855996177396e-05,9.851488249776158e-06,9.139206929964886e-06,9.2919741814263e-06,8.652266836720901e-06,8.879132345745715e-06,8.74600511541868e-06,8.117903041678931e-06,9.140795633163171e-06,9.670394286440171e-06,9.647244886684303e-06,1.0516640349501421e-05,1.071761943717095e-05,1.066333658135474e-05,1.1546167605417319e-05
IL,1.6173539507269692e-05,1.5982700492167503e-05,1.575511553245307e-05,1.7119385467278993e-05,1.6852409808581778e-05,1.7391967104332726e-05,1.812699718001367e-05,1.8700932708115265e-05,1.7604874804891368e-05,1.8012096184591304e-05,1.8109193763078305e-05,1.719770216798905e-05,1.764230354939342e-05,1.7846884696212507e-05,1.8091403414436534e-05,1.835199512255712e-05,1.8101793745753564e-05,1.829483651325586e-05,1.813851940444422e-05,1.6783302536059923e-05,1.7126267747689774e-05,1.650459500702323e-05,1.5644301566926942e-05,1.708436783664319e-05,1.6966145288158098e-05,1.5916098403230827e-05,1.4728570193112007e-05,1.4616885266819683e-05,1.5287480099345232e-05,1.4636222788261882e-05
IN,3.620498417114272e-05,3.495830963515618e-05,3.519149591639004e-05,3.591649180773425e-05,3.6237934933961066e-05,3.68481823134317e-05,3.685483577859915e-05,3.751459114901683e-05,3.723262903529963e-05,3.758134910434728e-05,3.889361572776379e-05,3.663438910183134e-05,3.650939993672673e-05,3.731473706972168e-05,3.8124569925271815e-05,3.73303088200225e-05,3.699125554928152e-05,3.6609794521027686e-05,3.642599991281917e-05,3.226762232596482e-05,3.43169167780707e-05,3.2271137660426965e-05,3.0242679106570138e-05,3.0876639698635894e-05,3.1445164540028685e-05,2.8702950432599807e-05,2.7479251736829074e-05,2.6309522469471873e-05,2.814113072949463e-05,2.595627427448669e-05
KS,2.5519683048434295e-05,2.5151568790296702e-05,2.4333183446823798e-05,2.6326620520772062e-05,2.60344591172964e-05,2.5389629351355634e-05,2.6844674640862197e-05,2.5764064901324006e-05,2.5199626408324548e-05,2.6204731583952986e-05,2.597878034469445e-05,2.5021305118306505e-05,2.628985755513782e-05,2.7493809323800305e-05,2.660176697374838e-05,2.5190894317308954e-05,2.4898421567602263e-05,2.7111136645665498e-05,2.5277985478818303e-05,2.4276241460182194e-05,2.394710205484205e-05,2.2791350961823608e-05,2.1222117729362952e-05,2.27365809477655e-05,2.2701221052957407e-05,2.0928301199284705e-05,2.0127208279742946e-05,1.8713869529101386e-05,2.0158998376309934e-05,1.935856026755529e-05
KY,2.5558948654997356e-05,2.5211220645215084e-05,2.6153325174414154e-05,2.8374802365586183e-05,2.7634808418001385e-05,2.8762568754524817e-05,2.8818931558952703e-05,2.990249174819013e-05,2.9390129327799305e-05,3.0194503145062902e-05,3.0188032071678768e-05,3.0865687130379204e-05,3.0770915210991396e-05,3.0322289507998116e-05,3.1410659492378885e-05,3.1547689361553485e-05,3.20846849480357e-05,3.1232330641926546e-05,3.073860905696316e-05,2.841809195414183e-05,2.9902455122904515e-05,2.9527303482382613e-05,2.7407069092855935e-05,2.7292285048938354e-05,2.730250893796782e-05,2.5189155076529508e-05,2.3920307079804132e-05,2.1674391484301034e-05,2.2914772855920393e-05,2.11466157478316e-05
LA,3.7882492570421504e-05,3.740900392928292e-05,3.9011696486435735e-05,3.950791017505699e-05,4.076238281265094e-05,4.0621819745340824e-05,4.078835581403008e-05,4.255266314946334e-05,3.958089284515905e-05,4.0170205544584144e-05,4.1986957896147237e-05,3.6504657578345604e-05,3.714864404725531e-05,3.5740821158419657e-05,3.6494801525994813e-05,3.544354727319646e-05,4.140604151383167e-05,4.160183003235781e-05,3.875774664921744e-05,3.5998757416994964e-05,3.784078938890435e-05,3.6303259283627684e-05,3.492392768345951e-05,3.351630602348677e-05,3.247274952048277e-05,3.1750816427155115e-05,3.1911236253854126e-05,3.253899946794964e-05,3.386358957052566e-05,3.4142616805425447e-05
MA,1.289878147932955e-05,1.2604763558104304e-05,1.290259119919132e-05,1.2284873494889555e-05,1.2350320254663682e-05,1.1849438092019809e-05,1.1926161762018542e-05,1.2857686912551336e-05,1.2537425656704642e-05,1.2096282540344401e-05,1.1895739701043231e-05,1.18499509804184e-05,1.1879244597226006e-05,1.2220243869177907e-05,1.1871423768966378e-05,1.1972442086815043e-05,1.0946221693907022e-05,1.1411537074181362e-05,1.0588248679948096e-05,9.803903862721045e-06,1.0069086372150327e-05,9.37124465015304e-06,8.319702692464105e-06,8.793907567332725e-06,8.544333141634145e-06,8.715430497879287e-06,8.243697098984452e-06,8.202316127335288e-06,8.138906830507996e-06,8.024398591705089e-06
MD,1.3372511957280217e-05,1.2844123056335642e-05,1.2808702222754692e-05,1.3140847906272993e-05,1.3286461525330168e-05,1.3104082076102515e-05,1.3536973986440344e-05,1.3649276210629536e-05,1.406836619141977e-05,1.4407803656873921e-05,1.4103721695338724e-05,1.4040222638261789e-05,1.3958981519604627e-05,1.4323311279379304e-05,1.4413122375448893e-05,1.4495279860908352e-05,1.3196297282528686e-05,1.324349175962009e-05,1.2292710152291634e-05,1.1560818530174676e-05,1.137748277872243e-05,1.1213198197921592e-05,9.77464312450834e-06,9.592799514992044e-06,9.98047572360754e-06,9.671815831938121e-06,9.314992890832694e-06,8.36781803671835e-06,9.423674668162857e-06,8.667534578395863e-06
