1958     2    -0.500  0.465     0.149  0.166     0.010  0.091     0.104  0.064     0.028  0.046
1958     3    -0.710  0.249     0.192  0.138     0.012  0.088     0.105  0.065     0.040  0.046
1958     4     0.085  0.225     0.243  0.110     0.015  0.086     0.114  0.066     0.034  0.046
1958     5     0.959  0.246     0.295  0.099     0.058  0.083     0.121  0.067     0.031  0.046
1958     6    -0.048  0.359     0.178  0.087     0.070  0.083     0.111  0.067     0.031  0.045
1958     7    -0.410  0.240     0.054  0.062     0.083  0.082     0.108  0.067     0.033  0.045
1958     8     0.628  0.243     0.126  0.058     0.125  0.082     0.108  0.068     0.032  0.044
1958     9     0.251  0.204     0.139  0.073     0.139  0.082     0.110  0.070     0.029  0.045
1958    10    -0.086  0.171     0.138  0.066     0.129  0.078     0.122  0.071     0.032  0.045
1958    11     0.654  0.204     0.086  0.067     0.110  0.075     0.116  0.071     0.033  0.045
1958    12     0.010  0.218     0.157  0.060     0.105  0.074     0.099  0.070     0.029  0.044
1959     1    -0.188  0.258     0.158  0.045     0.105  0.076     0.102  0.071     0.032  0.044
1959     2     0.364  0.237     0.148  0.057     0.113  0.078     0.071  0.071     0.035  0.045
1959     3    -0.551  0.336     0.119  0.061     0.103  0.078     0.061  0.070     0.023  0.045
1959     4     0.073  0.298     0.093  0.058     0.089  0.078     0.047  0.070     0.028  0.044
1959     5     0.340  0.176    -0.059  0.042     0.099  0.077     0.053  0.070     0.031  0.045
1959     6     0.802  0.127     0.036  0.040     0.059  0.074     0.050  0.069     0.029  0.045
1959     7    -0.396  0.158     0.075  0.048     0.050  0.073     0.048  0.067     0.030  0.045
1959     8     0.498  0.117    -0.016  0.052     0.040  0.073     0.042  0.070     0.030  0.045
1959     9    -0.095  0.215    -0.153  0.049     0.008  0.077     0.032  0.070     0.034  0.045
1959    10    -0.390  0.133    -0.132  0.048     0.009  0.073     0.027  0.070     0.029  0.045
1959    11    -1.173  0.141    -0.172  0.049     0.024  0.071     0.016  0.069     0.018  0.045
1959    12     1.145  0.184    -0.231  0.059     0.012  0.068     0.007  0.069     0.023  0.045
1960     1     0.285  0.284    -0.193  0.057    -0.002  0.065     0.009  0.068     0.012  0.045
1960     2    -0.732  0.196    -0.236  0.047    -0.001  0.060     0.013  0.068     0.018  0.044
1960     3    -2.199  0.116    -0.185  0.058    -0.005  0.066     0.004  0.069     0.017  0.044
1960     4     0.330  0.154    -0.123  0.053     0.026  0.070     0.006  0.067     0.018  0.044
1960     5    -0.139  0.237    -0.003  0.060     0.040  0.070     0.002  0.068     0.022  0.043
1960     6     0.089  0.258    -0.100  0.073     0.026  0.067     0.004  0.069     0.024  0.044
1960     7     0.068  0.100    -0.044  0.062    -0.020  0.065    -0.004  0.067     0.029  0.044
1960     8    -0.016  0.293     0.129  0.054    -0.001  0.062    -0.014  0.067     0.035  0.044
