,State,BLS Total State Employment,Solar Electric Power Generation Employment,Wind Electric Power Generation Employment,Traditional Hydroelectric Electric Power Generation Employment,Natural Gas Electric Power Generation Employment,Coal Electric Power Generation Employment,Oil & Other Fossil Fuels Electric Power Generation Employment,Electric Power Generation Employment,Storage Employment,Smart Grid Employment,Micro Grid & Other (including commodity flows) Employment,"Transmission, Distribution, and Storage Employment",ENERGY STAR & Efficient Lighting Employment,Traditional HVAC Employment,High Efficiency HVAC & Renewable Heating and Cooling Employment,Advanced Materials Employment,Energy Efficiency Employment,Coal Fuels Employment,Oil (Petroleum & Other Fossil Fuels) Employment,Natural Gas Fuels Employment,Corn Ethanol Fuels Employment,Woody Biomass Fuels Employment,Fuels Employment,Motor Vehicles Employment,year
88,Oregon,1915132.0,6211.608600646177,1287.7938233269763,1575.4254569154637,349.13768295467617,196.6101237500279,25.7328005964029,10020.080178093442,1806.106363976868,322.3664157945287,4032.5093563424994,13679.952574982115,4862.572191244043,10675.366627088271,11214.561878229146,9791.070268154323,41957.898858924695,41.56519546344367,436.5783132837528,97.47731025861037,131.56578382220138,1934.538200885301,2814.177891490847,25855.654080504337,2017
89,Pennsylvania,5857730.0,4776.725792290509,2677.3826892302704,242.8400284193348,2568.3784716150376,2064.406299375293,215.88662352112138,18689.442431927542,2296.952688638547,445.8324210738244,8532.70874621944,37967.10768685784,12985.028247553579,18083.563867617628,15183.673528478119,12833.140216565356,65288.22442460583,6131.633890149854,16856.65548379541,13321.899068676752,3450.0840949449575,1228.7817700600606,52560.48265780557,76571.33025097389,2017
90,Rhode Island,487122.0,1452.945704128958,521.4943019474455,84.61121516888822,194.4310602384327,7.244139415606725,2.455675088606537,2409.8211143609874,124.69282383432979,27.96915135797787,434.2557484312515,1696.087697965404,3585.749814712627,1279.8560784842873,2560.723166536943,3509.3577068927707,12588.268406700729,17.372122120235336,356.7870928669784,27.44314355465639,1.5425942019108425,10.940717526025088,927.3760968364315,4864.895211949097,2017
91,South Carolina,2055706.0,3539.885099951957,1505.8839240484278,9865.711764991582,3087.6293789362094,3790.3792866480458,12.160319341197075,29108.144551017776,1059.6998102642503,501.2743617355276,4083.6722358485486,14719.6828809627,1154.4179647576418,1329.5334706789988,8200.655955567412,6524.664344958362,29285.79637225116,89.3505399458531,2309.735424040964,543.9377752267176,466.5499163436089,1189.8108284517548,5153.931487941411,53403.55156287463,2017
92,South Dakota,435585.0,603.1919674058823,1512.7715677438136,25.609822256405625,152.23596478967718,98.30506187501395,11.368894966335425,3040.4657819862987,345.6168293245044,48.43230548169349,604.7549975385674,3620.1867144889325,823.537680123768,2098.101333453496,2033.5764919168419,641.5425677188366,7312.54087967933,8.578399277679345,1573.330257506947,58.935534805374225,684.1420758754471,77.66186453201843,2779.7486148266207,7960.790992433457,2017
93,Tennessee,2947705.0,5002.104289670069,240.88186425543103,5211.280845651565,321.7102405745979,488.2542461343925,34.69362318778164,11544.185524945055,1000.5844419871988,7795.872021218624,6147.480963719133,35675.71184181583,11054.944906877334,8019.614948085052,19979.480155168843,5964.174370830922,51628.572721233526,359.86464342378537,3734.074836925936,452.8160375688028,157.87894058664165,602.7700023957541,6960.4555449206655,104318.8511023592,2017
94,Texas,12065788.0,11608.487015920604,25221.83439828674,1418.48311473193,6104.647961670695,5898.303712500838,470.4814920336249,54370.56341943342,9432.922031200551,1520.653824328988,35028.76988125776,200817.1012505166,57203.202264547734,28131.2008967667,34943.28440485789,20152.047366763258,154564.7766397475,5751.7161753329765,197279.87663856804,110474.28495975841,2420.810422328505,473.69902924421285,321840.22806627105,173432.26859962102,2017
95,Utah,1434987.0,6334.562187703015,382.00999652375873,337.5585538523564,2515.1959071479346,882.7215751433312,13.406457322674825,10642.864225563522,571.9102105010102,159.70353776760507,2126.465444765755,7260.633854223837,6156.278258251917,2840.174851795188,7372.197411413952,9535.302959458382,31077.255687647532,1782.1705649429734,5625.0579673922875,2079.515952183688,17.53138753866803,89.02715323178126,11334.056132784168,22698.927482284744,2017
96,Vermont,314913.0,2165.854180469974,345.36485761348615,113.31753303260963,10.62656697465704,4.1493614000978605,6.705149905180515,2933.091105527095,237.68829668381272,23.091114434344885,266.1863618923539,1858.1935381699254,1886.4347860516411,2203.4558791385953,3334.7445322808,1720.2923988673044,10939.36287472402,19.259564067969666,324.99180558228363,7.8790809445697025,1.5601450688118768,1286.8289464162158,2522.491996860901,3582.614726827762,2017
97,Virginia,3888262.0,4197.276282605443,1456.1814165208127,541.574437757042,1453.874229489946,949.0429486255359,262.87340358967305,13896.143414498147,1144.1436969071794,382.8158790522888,10493.579804064311,24440.740492962745,19938.953324489787,16828.714589773703,13263.224960773736,10568.060825453964,76620.8477218073,2886.2319563137307,4992.9342897086235,1648.0944376917776,63.15157623465666,1454.460152656778,13027.835726233134,53316.38405842726,2017
