,anomaly,date
382,1.556,1981-11-01
383,0.554,1981-12-01
384,-1.751,1982-01-01
385,-0.387,1982-02-01
386,0.866,1982-03-01
387,-1.315,1982-04-01
388,0.111,1982-05-01
389,-0.924,1982-06-01
390,-0.114,1982-07-01
391,0.064,1982-08-01
392,-0.209,1982-09-01
393,-0.935,1982-10-01
394,-0.376,1982-11-01
395,1.897,1982-12-01
396,1.444,1983-01-01
397,1.765,1983-02-01
398,1.057,1983-03-01
399,-1.442,1983-04-01
400,-0.879,1983-05-01
401,-0.485,1983-06-01
402,0.293,1983-07-01
403,1.263,1983-08-01
404,0.069,1983-09-01
405,0.112,1983-10-01
406,0.974,1983-11-01
407,-2.835,1983-12-01
408,-0.165,1984-01-01
409,0.723,1984-02-01
410,0.377,1984-03-01
411,-0.906,1984-04-01
412,-0.123,1984-05-01
413,0.266,1984-06-01
414,-0.241,1984-07-01
415,0.378,1984-08-01
416,-0.596,1984-09-01
417,-0.225,1984-10-01
418,-0.411,1984-11-01
419,1.05,1984-12-01
420,0.035,1985-01-01
421,-1.71,1985-02-01
422,1.489,1985-03-01
423,0.651,1985-04-01
424,0.774,1985-05-01
425,-0.305,1985-06-01
426,0.266,1985-07-01
427,-0.484,1985-08-01
428,-1.0,1985-09-01
429,-0.308,1985-10-01
430,-1.255,1985-11-01
431,-0.669,1985-12-01
432,2.766,1986-01-01
433,1.553,1986-02-01
434,2.294,1986-03-01
435,0.345,1986-04-01
436,0.346,1986-05-01
437,1.02,1986-06-01
438,0.044,1986-07-01
439,-0.316,1986-08-01
440,-0.363,1986-09-01
441,-0.065,1986-10-01
442,-0.304,1986-11-01
443,1.747,1986-12-01
444,1.496,1987-01-01
445,1.991,1987-02-01
446,1.08,1987-03-01
447,1.103,1987-04-01
448,1.363,1987-05-01
449,0.858,1987-06-01
450,-0.024,1987-07-01
451,0.081,1987-08-01
452,0.087,1987-09-01
453,-0.104,1987-10-01
454,1.035,1987-11-01
455,0.905,1987-12-01
456,-0.213,1988-01-01
457,0.368,1988-02-01
458,1.073,1988-03-01
459,0.606,1988-04-01
460,0.739,1988-05-01
461,1.268,1988-06-01
462,0.734,1988-07-01
463,0.781,1988-08-01
464,-0.116,1988-09-01
465,-0.53,1988-10-01
466,0.124,1988-11-01
467,0.828,1988-12-01
468,0.96,1989-01-01
469,-1.122,1989-02-01
470,0.926,1989-03-01
471,1.366,1989-04-01
472,0.131,1989-05-01
473,-0.075,1989-06-01
474,0.468,1989-07-01
475,-0.036,1989-08-01
476,-0.05,1989-09-01
477,0.145,1989-10-01
478,-0.2,1989-11-01
479,-1.723,1989-12-01
480,2.943,1990-01-01
481,-0.013,1990-02-01
482,2.289,1990-03-01
483,1.312,1990-04-01
484,-0.14,1990-05-01
485,1.007,1990-06-01
486,0.097,1990-07-01
487,0.361,1990-08-01
488,1.169,1990-09-01
489,-0.169,1990-10-01
490,0.814,1990-11-01
491,-1.079,1990-12-01
492,0.2,1991-01-01
493,2.768,1991-02-01
494,1.319,1991-03-01
495,1.085,1991-04-01
496,1.181,1991-05-01
497,0.569,1991-06-01
498,0.112,1991-07-01
499,0.368,1991-08-01
500,0.322,1991-09-01
501,0.397,1991-10-01
502,-1.344,1991-11-01
503,1.316,1991-12-01
504,2.31,1992-01-01
505,2.41,1992-02-01
506,2.044,1992-03-01
507,0.658,1992-04-01
508,0.119,1992-05-01
509,-0.302,1992-06-01
510,-0.915,1992-07-01
511,-1.016,1992-08-01
512,-0.818,1992-09-01
513,-0.227,1992-10-01
514,-0.67,1992-11-01
515,-0.549,1992-12-01
516,0.557,1993-01-01
517,-0.679,1993-02-01
518,1.002,1993-03-01
519,0.147,1993-04-01
520,0.715,1993-05-01
521,-0.315,1993-06-01
522,-0.251,1993-07-01
523,-0.008,1993-08-01
524,-0.746,1993-09-01
525,-0.167,1993-10-01
526,-0.902,1993-11-01
527,1.349,1993-12-01
528,0.343,1994-01-01
529,-0.884,1994-02-01
530,1.556,1994-03-01
531,0.964,1994-04-01
532,0.509,1994-05-01
533,1.196,1994-06-01
534,0.193,1994-07-01
535,0.316,1994-08-01
536,0.292,1994-09-01
537,-0.179,1994-10-01
538,-0.094,1994-11-01
539,1.473,1994-12-01
540,1.932,1995-01-01
541,2.006,1995-02-01
542,0.88,1995-03-01
543,-0.096,1995-04-01
544,-0.192,1995-05-01
545,-0.296,1995-06-01
546,0.134,1995-07-01
547,1.084,1995-08-01
548,0.469,1995-09-01
549,0.276,1995-10-01
550,-0.183,1995-11-01
551,0.402,1995-12-01
552,-0.229,1996-01-01
553,0.854,1996-02-01
554,-0.171,1996-03-01
555,-0.096,1996-04-01
556,0.681,1996-05-01
557,0.746,1996-06-01
558,0.132,1996-07-01
559,-0.003,1996-08-01
560,-0.844,1996-09-01
561,-0.932,1996-10-01
562,-0.996,1996-11-01
563,0.333,1996-12-01
564,0.074,1997-01-01
565,1.96,1997-02-01
566,1.572,1997-03-01
567,-0.994,1997-04-01
568,-0.002,1997-05-01
569,0.273,1997-06-01
570,0.096,1997-07-01
571,0.141,1997-08-01
572,1.181,1997-09-01
573,-0.515,1997-10-01
574,0.153,1997-11-01
575,0.568,1997-12-01
576,2.39,1998-01-01
577,2.753,1998-02-01
578,1.132,1998-03-01
579,0.789,1998-04-01
580,1.293,1998-05-01
581,0.009,1998-06-01
582,1.124,1998-07-01
583,0.802,1998-08-01
584,2.113,1998-09-01
585,0.679,1998-10-01
586,1.719,1998-11-01
587,1.339,1998-12-01
588,1.541,1999-01-01
589,1.955,1999-02-01
590,0.809,1999-03-01
591,0.306,1999-04-01
592,-0.011,1999-05-01
593,0.149,1999-06-01
594,0.441,1999-07-01
595,0.607,1999-08-01
596,0.006,1999-09-01
597,0.086,1999-10-01
598,2.557,1999-11-01
599,0.967,1999-12-01
600,1.756,2000-01-01
601,3.761,2000-02-01
602,2.959,2000-03-01
603,0.853,2000-04-01
604,1.177,2000-05-01
605,0.523,2000-06-01
606,0.111,2000-07-01
607,0.773,2000-08-01
608,0.251,2000-09-01
609,0.384,2000-10-01
610,-1.204,2000-11-01
611,-1.097,2000-12-01
612,2.027,2001-01-01
613,1.025,2001-02-01
614,0.416,2001-03-01
615,1.188,2001-04-01
616,0.814,2001-05-01
617,0.584,2001-06-01
618,0.412,2001-07-01
619,1.151,2001-08-01
620,0.648,2001-09-01
621,-0.162,2001-10-01
622,2.445,2001-11-01
623,1.302,2001-12-01
624,2.92,2002-01-01
625,1.539,2002-02-01
626,-0.089,2002-03-01
627,1.142,2002-04-01
628,0.007,2002-05-01
629,1.287,2002-06-01
630,1.187,2002-07-01
631,0.412,2002-08-01
632,1.254,2002-09-01
633,-0.455,2002-10-01
634,1.128,2002-11-01
635,1.997,2002-12-01
636,2.276,2003-01-01
637,0.508,2003-02-01
638,1.262,2003-03-01
639,0.956,2003-04-01
640,0.537,2003-05-01
641,0.107,2003-06-01
642,1.016,2003-07-01
643,1.349,2003-08-01
644,0.033,2003-09-01
645,1.728,2003-10-01
646,0.563,2003-11-01
647,1.314,2003-12-01
648,0.254,2004-01-01
649,0.331,2004-02-01
650,3.002,2004-03-01
651,1.317,2004-04-01
652,1.339,2004-05-01
653,0.472,2004-06-01
654,0.177,2004-07-01
655,-0.311,2004-08-01
656,0.207,2004-09-01
657,0.931,2004-10-01
658,1.415,2004-11-01
659,1.457,2004-12-01
660,2.228,2005-01-01
661,2.168,2005-02-01
662,1.378,2005-03-01
