EIA_ID,YYYYMM,Date,Value,Column_Order,Description,Unit
WDPRBUS,198311,11/1/1983,220.719,1,Wood Energy Production,Trillion Btu
WDPRBUS,198312,12/1/1983,228.194,1,Wood Energy Production,Trillion Btu
WDPRBUS,198401,1/1/1984,227.551,1,Wood Energy Production,Trillion Btu
WDPRBUS,198402,2/1/1984,212.673,1,Wood Energy Production,Trillion Btu
WDPRBUS,198403,3/1/1984,227.378,1,Wood Energy Production,Trillion Btu
WDPRBUS,198404,4/1/1984,219.904,1,Wood Energy Production,Trillion Btu
WDPRBUS,198405,5/1/1984,227.242,1,Wood Energy Production,Trillion Btu
WDPRBUS,198406,6/1/1984,219.914,1,Wood Energy Production,Trillion Btu
WDPRBUS,198407,7/1/1984,227.458,1,Wood Energy Production,Trillion Btu
WDPRBUS,198408,8/1/1984,227.481,1,Wood Energy Production,Trillion Btu
WDPRBUS,198409,9/1/1984,220.21,1,Wood Energy Production,Trillion Btu
WDPRBUS,198410,10/1/1984,227.64,1,Wood Energy Production,Trillion Btu
WDPRBUS,198411,11/1/1984,220.555,1,Wood Energy Production,Trillion Btu
WDPRBUS,198412,12/1/1984,227.811,1,Wood Energy Production,Trillion Btu
WDPRBUS,198501,1/1/1985,228.394,1,Wood Energy Production,Trillion Btu
WDPRBUS,198502,2/1/1985,206.294,1,Wood Energy Production,Trillion Btu
WDPRBUS,198503,3/1/1985,228.374,1,Wood Energy Production,Trillion Btu
WDPRBUS,198504,4/1/1985,220.463,1,Wood Energy Production,Trillion Btu
WDPRBUS,198505,5/1/1985,227.858,1,Wood Energy Production,Trillion Btu
WDPRBUS,198506,6/1/1985,220.471,1,Wood Energy Production,Trillion Btu
WDPRBUS,198507,7/1/1985,228.091,1,Wood Energy Production,Trillion Btu
WDPRBUS,198508,8/1/1985,228.276,1,Wood Energy Production,Trillion Btu
WDPRBUS,198509,9/1/1985,221.006,1,Wood Energy Production,Trillion Btu
WDPRBUS,198510,10/1/1985,228.287,1,Wood Energy Production,Trillion Btu
WDPRBUS,198511,11/1/1985,220.962,1,Wood Energy Production,Trillion Btu
WDPRBUS,198512,12/1/1985,228.29,1,Wood Energy Production,Trillion Btu
WDPRBUS,198601,1/1/1986,217.84,1,Wood Energy Production,Trillion Btu
WDPRBUS,198602,2/1/1986,196.536,1,Wood Energy Production,Trillion Btu
WDPRBUS,198603,3/1/1986,217.379,1,Wood Energy Production,Trillion Btu
WDPRBUS,198604,4/1/1986,210.372,1,Wood Energy Production,Trillion Btu
WDPRBUS,198605,5/1/1986,217.424,1,Wood Energy Production,Trillion Btu
WDPRBUS,198606,6/1/1986,210.444,1,Wood Energy Production,Trillion Btu
WDPRBUS,198607,7/1/1986,217.598,1,Wood Energy Production,Trillion Btu
WDPRBUS,198608,8/1/1986,217.76,1,Wood Energy Production,Trillion Btu
WDPRBUS,198609,9/1/1986,210.699,1,Wood Energy Production,Trillion Btu
WDPRBUS,198610,10/1/1986,217.574,1,Wood Energy Production,Trillion Btu
WDPRBUS,198611,11/1/1986,210.647,1,Wood Energy Production,Trillion Btu
WDPRBUS,198612,12/1/1986,217.863,1,Wood Energy Production,Trillion Btu
WDPRBUS,198701,1/1/1987,209.176,1,Wood Energy Production,Trillion Btu
WDPRBUS,198702,2/1/1987,188.924,1,Wood Energy Production,Trillion Btu
WDPRBUS,198703,3/1/1987,209.117,1,Wood Energy Production,Trillion Btu
WDPRBUS,198704,4/1/1987,202.254,1,Wood Energy Production,Trillion Btu
WDPRBUS,198705,5/1/1987,208.99,1,Wood Energy Production,Trillion Btu
WDPRBUS,198706,6/1/1987,202.596,1,Wood Energy Production,Trillion Btu
WDPRBUS,198707,7/1/1987,209.335,1,Wood Energy Production,Trillion Btu
WDPRBUS,198708,8/1/1987,209.365,1,Wood Energy Production,Trillion Btu
WDPRBUS,198709,9/1/1987,202.52,1,Wood Energy Production,Trillion Btu
WDPRBUS,198710,10/1/1987,209.112,1,Wood Energy Production,Trillion Btu
WDPRBUS,198711,11/1/1987,202.462,1,Wood Energy Production,Trillion Btu
WDPRBUS,198712,12/1/1987,209.308,1,Wood Energy Production,Trillion Btu
WDPRBUS,198801,1/1/1988,218.368,1,Wood Energy Production,Trillion Btu
WDPRBUS,198802,2/1/1988,204.246,1,Wood Energy Production,Trillion Btu
WDPRBUS,198803,3/1/1988,218.351,1,Wood Energy Production,Trillion Btu
WDPRBUS,198804,4/1/1988,211.122,1,Wood Energy Production,Trillion Btu
WDPRBUS,198805,5/1/1988,217.825,1,Wood Energy Production,Trillion Btu
WDPRBUS,198806,6/1/1988,211.242,1,Wood Energy Production,Trillion Btu
WDPRBUS,198807,7/1/1988,218.272,1,Wood Energy Production,Trillion Btu
WDPRBUS,198808,8/1/1988,218.415,1,Wood Energy Production,Trillion Btu
WDPRBUS,198809,9/1/1988,211.218,1,Wood Energy Production,Trillion Btu
WDPRBUS,198810,10/1/1988,218.198,1,Wood Energy Production,Trillion Btu
WDPRBUS,198811,11/1/1988,211.191,1,Wood Energy Production,Trillion Btu
WDPRBUS,198812,12/1/1988,218.215,1,Wood Energy Production,Trillion Btu
WDPRBUS,198901,1/1/1989,231.17,1,Wood Energy Production,Trillion Btu
WDPRBUS,198902,2/1/1989,211.272,1,Wood Energy Production,Trillion Btu
WDPRBUS,198903,3/1/1989,236.6,1,Wood Energy Production,Trillion Btu
WDPRBUS,198904,4/1/1989,218.29,1,Wood Energy Production,Trillion Btu
WDPRBUS,198905,5/1/1989,200.711,1,Wood Energy Production,Trillion Btu
WDPRBUS,198906,6/1/1989,208.439,1,Wood Energy Production,Trillion Btu
WDPRBUS,198907,7/1/1989,217.404,1,Wood Energy Production,Trillion Btu
WDPRBUS,198908,8/1/1989,234.088,1,Wood Energy Production,Trillion Btu
WDPRBUS,198909,9/1/1989,220.479,1,Wood Energy Production,Trillion Btu
WDPRBUS,198910,10/1/1989,230.492,1,Wood Energy Production,Trillion Btu
WDPRBUS,198911,11/1/1989,231.613,1,Wood Energy Production,Trillion Btu
WDPRBUS,198912,12/1/1989,239.066,1,Wood Energy Production,Trillion Btu
WDPRBUS,199001,1/1/1990,193.411,1,Wood Energy Production,Trillion Btu
WDPRBUS,199002,2/1/1990,186.722,1,Wood Energy Production,Trillion Btu
WDPRBUS,199003,3/1/1990,199.565,1,Wood Energy Production,Trillion Btu
WDPRBUS,199004,4/1/1990,190.159,1,Wood Energy Production,Trillion Btu
WDPRBUS,199005,5/1/1990,166.803,1,Wood Energy Production,Trillion Btu
WDPRBUS,199006,6/1/1990,134.939,1,Wood Energy Production,Trillion Btu
WDPRBUS,199007,7/1/1990,176.618,1,Wood Energy Production,Trillion Btu
WDPRBUS,199008,8/1/1990,201.445,1,Wood Energy Production,Trillion Btu
WDPRBUS,199009,9/1/1990,196.099,1,Wood Energy Production,Trillion Btu
WDPRBUS,199010,10/1/1990,190.414,1,Wood Energy Production,Trillion Btu
WDPRBUS,199011,11/1/1990,177.629,1,Wood Energy Production,Trillion Btu
WDPRBUS,199012,12/1/1990,202.362,1,Wood Energy Production,Trillion Btu
WDPRBUS,199101,1/1/1991,221.773,1,Wood Energy Production,Trillion Btu
WDPRBUS,199102,2/1/1991,161.586,1,Wood Energy Production,Trillion Btu
WDPRBUS,199103,3/1/1991,165.815,1,Wood Energy Production,Trillion Btu
WDPRBUS,199104,4/1/1991,142.348,1,Wood Energy Production,Trillion Btu
WDPRBUS,199105,5/1/1991,156.299,1,Wood Energy Production,Trillion Btu
WDPRBUS,199106,6/1/1991,161.835,1,Wood Energy Production,Trillion Btu
WDPRBUS,199107,7/1/1991,163.21,1,Wood Energy Production,Trillion Btu
WDPRBUS,199108,8/1/1991,201.887,1,Wood Energy Production,Trillion Btu
WDPRBUS,199109,9/1/1991,220.843,1,Wood Energy Production,Trillion Btu
WDPRBUS,199110,10/1/1991,204.17,1,Wood Energy Production,Trillion Btu
WDPRBUS,199111,11/1/1991,194.094,1,Wood Energy Production,Trillion Btu
WDPRBUS,199112,12/1/1991,220.221,1,Wood Energy Production,Trillion Btu
WDPRBUS,199201,1/1/1992,225.223,1,Wood Energy Production,Trillion Btu
WDPRBUS,199202,2/1/1992,179.107,1,Wood Energy Production,Trillion Btu
WDPRBUS,199203,3/1/1992,169.584,1,Wood Energy Production,Trillion Btu
WDPRBUS,199204,4/1/1992,162.501,1,Wood Energy Production,Trillion Btu
WDPRBUS,199205,5/1/1992,136.512,1,Wood Energy Production,Trillion Btu
WDPRBUS,199206,6/1/1992,178.938,1,Wood Energy Production,Trillion Btu
WDPRBUS,199207,7/1/1992,196.218,1,Wood Energy Production,Trillion Btu
WDPRBUS,199208,8/1/1992,216.248,1,Wood Energy Production,Trillion Btu
WDPRBUS,199209,9/1/1992,199.5,1,Wood Energy Production,Trillion Btu
WDPRBUS,199210,10/1/1992,219.054,1,Wood Energy Production,Trillion Btu
WDPRBUS,199211,11/1/1992,220.592,1,Wood Energy Production,Trillion Btu
WDPRBUS,199212,12/1/1992,209.993,1,Wood Energy Production,Trillion Btu
WDPRBUS,199301,1/1/1993,212.917,1,Wood Energy Production,Trillion Btu
WDPRBUS,199302,2/1/1993,190.799,1,Wood Energy Production,Trillion Btu
WDPRBUS,199303,3/1/1993,202.466,1,Wood Energy Production,Trillion Btu
WDPRBUS,199304,4/1/1993,176.447,1,Wood Energy Production,Trillion Btu
WDPRBUS,199305,5/1/1993,141.057,1,Wood Energy Production,Trillion Btu
WDPRBUS,199306,6/1/1993,142.881,1,Wood Energy Production,Trillion Btu
WDPRBUS,199307,7/1/1993,159.077,1,Wood Energy Production,Trillion Btu
WDPRBUS,199308,8/1/1993,215.249,1,Wood Energy Production,Trillion Btu
WDPRBUS,199309,9/1/1993,197.49,1,Wood Energy Production,Trillion Btu
WDPRBUS,199310,10/1/1993,203.03,1,Wood Energy Production,Trillion Btu
WDPRBUS,199311,11/1/1993,209.594,1,Wood Energy Production,Trillion Btu
WDPRBUS,199312,12/1/1993,208.767,1,Wood Energy Production,Trillion Btu
WDPRBUS,199401,1/1/1994,252.903,1,Wood Energy Production,Trillion Btu
WDPRBUS,199402,2/1/1994,194.065,1,Wood Energy Production,Trillion Btu
WDPRBUS,199403,3/1/1994,202.598,1,Wood Energy Production,Trillion Btu
WDPRBUS,199404,4/1/1994,183.168,1,Wood Energy Production,Trillion Btu
WDPRBUS,199405,5/1/1994,141.247,1,Wood Energy Production,Trillion Btu
WDPRBUS,199406,6/1/1994,156.533,1,Wood Energy Production,Trillion Btu
WDPRBUS,199407,7/1/1994,216.33,1,Wood Energy Production,Trillion Btu
WDPRBUS,199408,8/1/1994,193.374,1,Wood Energy Production,Trillion Btu
